yyyyq,price,d12,e12,ret,retx,AAA,BAA,lty,ltr,corpr,tbl,Rfree,d/p,d/y,e/p,d/e,b/m,tms,dfy,dfr,infl,eqis,ntis,svar,cay,i/k,csp,pce,vp,impvar,vrp,govik,lzrt,skew,crdstd,ogap,wtexas,accrul,cfacc,sntm,ndrbl,skvw,tail,fbm,dtoy,dtoat,ygap,rdsp,rsvix,gpce,gip,tchi,house,avgcor,shtint,disag
19391,10.98,0.5200,0.7100,-0.164224,-0.172133,0.0299,0.0489,0.0237,0.0266,0.0108,0.0003,0.000075,0.047359,0.040945,0.064663,0.732394,0.660649,0.023400,0.019000,-0.015789,-0.007143,,-0.001261,0.019126,,,0.002715,,,,,,-1.507241,,,-0.254571,0.063830,,,,,-0.159019,0.480991,0.297126,0.834008,0.345882,,0.067065,,,,,,0.492852,,
19392,10.86,0.5300,0.7600,-0.003186,-0.014252,0.0292,0.0491,0.0221,0.0263,0.0149,0.0003,0.000075,0.048803,0.045690,0.069982,0.697368,0.666769,0.021800,0.019900,-0.011452,-0.007194,,-0.000086,0.015965,,,0.004162,,,,,,-1.288163,,,-0.252695,0.000000,,,,,-0.114013,0.525408,0.207583,0.826354,0.342708,,0.046307,,,,,,0.431088,,
19393,13.02,0.5600,0.8100,0.223972,0.212041,0.0325,0.0500,0.0278,-0.0630,-0.0254,0.0014,0.000075,0.043011,0.050089,0.062212,0.691358,0.580048,0.026400,0.017500,0.037661,0.021739,,-0.002110,0.027126,,,0.007089,,,,,,-1.758863,,,-0.163379,0.000000,,,,,0.210742,0.432864,0.152156,0.949899,0.393945,,0.275261,,,,,,0.418837,,
19394,12.49,0.6200,0.9000,-0.030156,-0.046308,0.0294,0.0492,0.0226,0.0732,0.0398,0.0004,0.000350,0.049640,0.050820,0.072058,0.688889,0.580705,0.022200,0.019800,-0.033368,-0.007092,,0.002551,0.004204,,,0.006074,,,,,,-1.366909,,,-0.102061,0.041667,,,,,0.087124,0.542512,0.096586,0.961968,0.393499,,0.055309,,,,,,0.250358,,
19401,12.25,0.6300,0.9900,-0.010014,-0.019937,0.0284,0.0480,0.0215,0.0187,0.0119,0.0002,0.000100,0.051429,0.051937,0.080816,0.636364,0.647960,0.021300,0.019600,-0.006768,0.000000,,0.005679,0.002677,,,0.005046,,,,,,-1.340846,,,-0.182713,0.000000,,,,,0.006603,0.519920,0.036292,0.946254,0.387071,,0.044935,,,,,,0.219875,,
19402,9.98,0.6500,1.0400,-0.171393,-0.185416,0.0296,0.0511,0.0227,-0.0084,0.0007,0.0010,0.000050,0.065130,0.070119,0.104208,0.625000,0.783221,0.021700,0.021500,0.009037,0.007143,,0.006370,0.029658,,,0.003513,,,,,,-1.463186,,,-0.115628,-0.116443,,,,,0.114908,0.451837,0.339196,0.782837,0.320225,,0.049672,,,,,,0.526363,,
19403,10.66,0.6700,1.0800,0.084895,0.070091,0.0282,0.0466,0.0215,0.0191,0.0120,0.0005,0.000250,0.062852,0.063447,0.101313,0.620370,0.720748,0.021000,0.018400,-0.007075,-0.007092,,0.009647,0.007828,,,0.004478,,,,,,-1.357037,,,-0.089337,-0.075000,,,,,0.030378,0.490377,0.266559,0.853100,0.347981,,0.061511,,,,,,0.333340,,
19404,10.58,0.6700,1.0500,0.013775,-0.007023,0.0271,0.0445,0.0194,0.0305,0.0089,0.0002,0.000125,0.063327,0.063148,0.099244,0.638095,0.729048,0.019200,0.017400,-0.021617,0.007143,,0.012589,0.007887,,,0.004262,,,,,,-1.319435,,,-0.030869,0.064697,,,,,0.030474,0.566763,0.420782,0.858181,0.344020,,0.045138,,,,,,0.319077,,
19411,9.96,0.6800,1.0600,-0.041641,-0.054901,0.0280,0.0438,0.0206,-0.0087,-0.0010,0.0011,0.000050,0.068273,0.068548,0.106426,0.641509,0.804270,0.019500,0.015800,0.007712,0.007092,,0.010061,0.005972,,,0.001855,,,,,,-1.206822,,,0.040759,0.000000,,,,,0.067109,0.558471,0.386461,0.811157,0.321956,,0.038116,,,,,,0.301752,,
19412,9.85,0.6900,1.0900,0.006134,-0.012199,0.0277,0.0431,0.0191,0.0223,0.0191,0.0012,0.000275,0.070051,0.073797,0.110660,0.633028,0.801527,0.017900,0.015400,-0.003220,0.035211,,0.008968,0.004522,,,0.002224,,,,,,-1.213155,,,0.082135,0.066448,,,,,0.053144,0.525261,0.132953,0.893938,0.323058,,0.047237,,,,,,0.237942,,
19413,10.20,0.7000,1.1900,0.048167,0.033321,0.0275,0.0430,0.0193,0.0028,0.0146,0.0010,0.000300,0.068627,0.067961,0.116667,0.588235,0.778268,0.018300,0.015500,0.011769,0.027211,,0.010284,0.002702,,,0.002669,,,,,,-1.272233,,,0.093038,0.000000,,,,,0.012395,0.520702,0.076870,0.920653,0.332712,,0.043195,,,,,,0.179972,,
19414,8.69,0.7100,1.1600,-0.123337,-0.146625,0.0280,0.0438,0.0204,-0.0068,-0.0054,0.0033,0.000250,0.081703,0.078022,0.133487,0.612069,0.889510,0.017100,0.015800,0.001401,0.026490,,0.010343,0.009277,,,0.003447,,,,,,-1.476217,,,0.110281,0.000000,,,,,0.042130,0.513481,0.074605,0.830601,0.291104,,0.058705,,,,,,0.330718,,
19421,8.01,0.6900,1.0400,-0.060103,-0.073873,0.0286,0.0430,0.0244,0.0173,0.0061,0.0025,0.000825,0.086142,0.080326,0.129838,0.663462,1.034864,0.021900,0.014400,-0.011183,0.032258,,0.010120,0.006572,,,0.003011,,,,,,-1.199325,,,0.146350,0.000000,,,,,0.001998,0.479969,-0.062635,0.765262,0.261117,,0.034558,,,,,,0.272899,,
19422,8.30,0.6600,0.9800,0.053922,0.034643,0.0285,0.0433,0.0244,0.0049,0.0060,0.0037,0.000625,0.079518,0.080982,0.118072,0.673469,0.996710,0.020700,0.014800,0.001130,0.018750,,0.010198,0.005234,,,0.003266,,,,,,-1.120858,,,0.109564,0.000000,,,,,0.034616,0.510685,0.581883,0.794556,0.271113,,0.038651,,,,,,0.251607,,
19423,8.85,0.6200,0.9400,0.086064,0.070939,0.0280,0.0426,0.0244,0.0059,0.0075,0.0038,0.000925,0.070056,0.071926,0.106215,0.659574,0.944001,0.020600,0.014600,0.001609,0.012270,,0.006244,0.003188,,,0.002801,,,,,,-1.091871,,,0.173708,0.000000,,,,,0.041314,0.542779,0.602911,0.860150,0.286250,,0.062582,,,,,,0.204771,,
19424,9.77,0.5900,1.0300,0.124349,0.101157,0.0281,0.0428,0.0246,0.0038,0.0061,0.0038,0.000950,0.060389,0.063509,0.105425,0.572816,0.862647,0.020800,0.014700,0.002320,0.024242,,0.001812,0.003057,,,0.005101,,,,,,-1.242438,,,0.240031,0.000000,,,,,0.073057,0.553000,0.627118,0.998662,0.313246,,0.044246,,,,,,0.187628,,
19431,11.58,0.5900,1.0700,0.202609,0.189698,0.0276,0.0401,0.0247,0.0037,0.0075,0.0038,0.000950,0.050950,0.053636,0.092401,0.551402,0.783481,0.020900,0.012500,0.003813,0.017751,,0.001892,0.002933,,,0.007322,,,,,,-1.461143,,,0.270167,0.000000,,,,,0.088449,0.445812,0.620806,0.998173,0.358292,,0.074443,,,,,,0.221235,,
19432,12.35,0.5900,1.1000,0.079389,0.066056,0.0272,0.0388,0.0244,0.0116,0.0146,0.0038,0.000950,0.047773,0.048720,0.089069,0.536364,0.746269,0.020600,0.011600,0.002929,0.017442,,0.001200,0.004651,,,0.001350,,,,,,-1.468776,,,0.272061,0.000000,,,,,0.009368,0.410052,0.092353,1.000000,0.376158,,0.036913,,,,,,0.289380,,
19433,12.08,0.6000,1.0800,-0.011261,-0.021767,0.0269,0.0383,0.0246,0.0031,0.0043,0.0038,0.000950,0.049669,0.050847,0.089404,0.555556,0.763631,0.020800,0.011400,0.001204,-0.005714,,0.013693,0.004748,,,0.001628,,,,,,-1.333326,,,0.335445,0.000000,,,,,0.048840,0.431201,0.175437,0.960911,0.367605,,0.033697,,,,,,0.323773,,
19434,11.67,0.6100,0.9400,-0.013094,-0.030116,0.0274,0.0382,0.0248,0.0023,0.0017,0.0038,0.000950,0.052271,0.055354,0.080548,0.648936,0.787402,0.021000,0.010800,-0.000614,0.000000,,0.014423,0.003754,,,0.001962,,,,,,-1.402982,,,0.337808,0.000000,,,,,0.103861,0.432757,0.260412,0.931902,0.356508,,0.041782,,,,,,0.308690,,
19441,12.02,0.6200,0.9300,0.047072,0.035165,0.0274,0.0370,0.0247,0.0074,0.0102,0.0038,0.000950,0.051581,0.052453,0.077371,0.666667,0.813886,0.020900,0.009600,0.002815,0.000000,,0.019145,0.001919,,,0.001592,,,,,,-1.385429,,,0.343204,0.000000,,,,,0.015725,0.441652,0.199513,0.952133,0.364247,,0.045827,,,,,,0.197591,,
19442,12.98,0.6300,0.9200,0.092335,0.077988,0.0273,0.0359,0.0248,0.0049,0.0059,0.0038,0.000950,0.048536,0.051012,0.070878,0.684783,0.761558,0.021000,0.008600,0.001003,0.011494,,0.018202,0.001894,,,0.002743,,,,,,-1.438500,,,0.321103,0.000000,,,,,0.076617,0.406810,0.118503,0.998318,0.389275,,0.071820,,,,,,0.195316,,
19443,12.78,0.6400,0.9000,-0.005745,-0.015669,0.0272,0.0356,0.0247,0.0077,0.0087,0.0038,0.000950,0.050078,0.049922,0.070423,0.711111,0.772333,0.020900,0.008400,0.001006,0.005682,,0.008963,0.002615,,,0.002915,,,,,,-1.449317,,,0.313589,0.000000,,,,,-0.049547,0.381851,0.124204,0.972159,0.383844,,0.031721,,,,,,0.263880,,
19444,13.28,0.6400,0.9300,0.065469,0.048200,0.0270,0.0349,0.0246,0.0078,0.0217,0.0038,0.000950,0.048193,0.049883,0.070030,0.688172,0.743764,0.020800,0.007900,0.013891,0.005650,,0.019062,0.001972,,,0.003522,,,,,,-1.463287,,,0.293134,0.000000,,,,,0.084354,0.350978,-0.067599,0.997702,0.398589,,0.048094,,,,,,0.201678,,
19451,13.64,0.6500,0.9600,0.037088,0.026681,0.0262,0.0338,0.0236,0.0226,0.0141,0.0038,0.000950,0.047654,0.045455,0.070381,0.677083,0.767883,0.019800,0.007600,-0.008584,0.000000,,0.015963,0.003467,,,0.004077,,,,,,-1.640280,,,0.261093,0.000000,,,,,-0.058312,0.327845,-0.081380,0.953814,0.404177,,0.033758,,,,,,0.286380,,
19452,14.96,0.6500,1.0000,0.115027,0.102277,0.0261,0.0329,0.0217,0.0390,0.0039,0.0038,0.000950,0.043449,0.043304,0.066845,0.650000,0.718843,0.017900,0.006800,-0.035056,0.016854,,0.019466,0.003185,,,0.004147,,,,,,-1.556132,,,0.180064,0.000000,,,,,-0.046542,0.351157,0.030336,0.973326,0.431750,,0.058402,,,,,,0.226427,,
19453,16.16,0.6600,0.9900,0.085101,0.075667,0.0262,0.0324,0.0221,-0.0007,0.0025,0.0038,0.000950,0.040842,0.042553,0.061262,0.666667,0.656821,0.018300,0.006200,0.003152,0.000000,,0.017607,0.005349,,,0.003622,,,,,,-1.579755,,,-0.058875,0.000000,,,,,0.075944,0.318294,0.046152,0.999390,0.472519,,0.048722,,,,,,0.319977,,
19454,17.36,0.6600,0.9600,0.089142,0.075928,0.0261,0.0310,0.0199,0.0429,0.0198,0.0038,0.000950,0.038018,0.038394,0.055300,0.687500,0.613239,0.016100,0.004900,-0.023081,0.005525,,0.025525,0.003968,,,0.004328,,,,,,-1.838242,,,-0.071077,0.000000,,,,,-0.001335,0.305235,-0.040243,0.985139,0.506100,,0.033732,,,,,,0.252703,,
19461,18.08,0.6800,0.9000,0.048912,0.039816,0.0247,0.0294,0.0198,0.0067,0.0197,0.0038,0.000950,0.037611,0.039352,0.049779,0.755556,0.614853,0.016000,0.004700,0.012985,0.005495,,0.031188,0.010084,,,0.003633,,,,,,-1.815662,,,-0.092218,0.000000,,,,,0.042773,0.292561,-0.089669,0.965878,0.523546,,0.041841,,,,,,0.437024,,
19462,18.43,0.6800,0.8400,0.027959,0.018990,0.0249,0.0303,0.0206,-0.0078,-0.0005,0.0038,0.000950,0.036896,0.035454,0.045578,0.809524,0.596732,0.016800,0.005400,0.007274,0.021858,,0.033592,0.003832,,,0.003062,,,,,,-1.854698,,,-0.099854,0.000000,,,,,0.068716,0.285941,0.041407,0.967624,0.539444,,0.021382,,,,,,0.250110,,
19463,14.96,0.6900,0.8900,-0.188615,-0.195697,0.0258,0.0310,0.0219,-0.0159,-0.0126,0.0038,0.000950,0.046123,0.041441,0.059492,0.775281,0.711634,0.018100,0.005200,0.003379,0.090909,,0.049112,0.019709,,,0.002606,,,,,,-2.248206,,,-0.024012,0.000000,,,,,-0.077058,0.320120,0.099217,0.811388,0.452344,,0.037001,,,,,,0.537354,,
19464,15.30,0.7100,1.0600,0.036962,0.022719,0.0261,0.0317,0.0212,0.0165,0.0108,0.0038,0.000950,0.046405,0.048398,0.069281,0.669811,0.692438,0.017400,0.005600,-0.005699,0.053922,,0.036076,0.012746,,,0.001781,,,,,,-1.746280,,,-0.005741,0.000000,,,,,0.100992,0.320722,0.158042,0.833882,0.464884,,0.036619,,,,,,0.414458,,
19471,15.17,0.7200,1.2700,-0.001688,-0.012359,0.0255,0.0315,0.0213,0.0035,0.0077,0.0038,0.000950,0.047462,0.046662,0.083718,0.566929,0.741535,0.017500,0.006000,0.004205,0.018605,,0.031020,0.005887,,0.035902,0.000804,,,,,0.036204,-1.640393,,,0.005857,0.000000,,,,,-0.064580,0.329809,0.156243,0.833882,0.464884,,0.024704,,,,,,0.321467,,
19472,15.21,0.7600,1.4400,0.011293,-0.002494,0.0255,0.0321,0.0216,0.0006,0.0044,0.0038,0.000950,0.049967,0.052595,0.094675,0.527778,0.741117,0.017800,0.006600,0.003818,0.004566,,0.026473,0.006811,,0.034959,0.003817,,,,,0.037611,-1.612560,,,-0.010039,0.000000,,,,,0.041549,0.333764,0.194438,0.854211,0.465147,,0.028430,,,,,,0.346894,,
19473,15.11,0.7900,1.5500,0.005500,-0.005698,0.0261,0.0323,0.0213,0.0100,-0.0181,0.0080,0.000950,0.052283,0.051567,0.102581,0.509677,0.740323,0.013300,0.006200,-0.028135,0.045455,,0.024059,0.004187,,0.033978,0.004327,,,,,0.039826,-1.570941,,,-0.014214,0.000000,,,,,0.049273,0.335518,0.198819,0.949906,0.465645,,0.027730,,,,,,0.285469,,
19474,15.30,0.8400,1.6100,0.033446,0.014227,0.0286,0.0352,0.0243,-0.0398,-0.0173,0.0095,0.002000,0.054902,0.056037,0.105229,0.521739,0.725326,0.014800,0.006600,0.022582,0.017391,,0.025922,0.002453,,0.034613,0.004761,,,,,0.042045,-1.587991,,,0.000629,0.028000,,,,,0.044715,0.356385,0.233286,0.969548,0.475274,,0.039228,,,,,,0.200286,,
19481,15.08,0.8500,1.7100,-0.001243,-0.014340,0.0283,0.0353,0.0241,0.0100,0.0179,0.0100,0.002375,0.056366,0.060714,0.113395,0.497076,0.841422,0.014100,0.007000,0.007850,0.000000,,0.027187,0.004887,,0.036276,0.005809,,,,,0.046188,-1.550527,,,-0.015045,0.000000,,,,,0.093902,0.339368,0.189704,0.948354,0.464884,,0.037562,,,,,,0.335225,,
19482,16.74,0.8500,1.8600,0.125989,0.112358,0.0276,0.0334,0.0238,0.0101,-0.0037,0.0100,0.002500,0.050777,0.050929,0.111111,0.456989,0.786974,0.013800,0.005800,-0.013842,0.029915,,0.023894,0.002912,,0.034673,0.003144,,,,,0.048920,-1.629224,,,0.004789,0.000000,,,,,0.079557,0.323380,0.098673,0.980845,0.497049,,0.034080,,,,,,0.172457,,
19483,15.49,0.8700,2.0700,-0.063571,-0.075195,0.0284,0.0345,0.0242,-0.0006,0.0027,0.0109,0.002500,0.056165,0.054477,0.133635,0.420290,0.836231,0.013300,0.006100,0.003275,0.016598,,0.019128,0.006348,,0.034424,0.003053,,,,,0.050700,-1.582650,,,-0.018110,0.000000,,,,,-0.033538,0.334399,0.133276,0.923069,0.467770,,0.024490,,,,,,0.390420,,
19484,15.20,0.9300,2.2900,-0.000491,-0.022060,0.0279,0.0353,0.0237,0.0140,0.0242,0.0116,0.002725,0.061184,0.063051,0.150658,0.406114,0.840948,0.012100,0.007400,0.010212,-0.016327,,0.015015,0.007954,,0.034895,0.001633,,,,,0.052212,-1.451957,,,-0.044852,0.000000,,,,,0.069464,0.353007,0.230320,0.917892,0.465147,,0.036424,,,,,,0.437021,,
19491,15.06,0.9800,2.3800,0.003946,-0.011982,0.0270,0.0347,0.0227,0.0206,0.0083,0.0117,0.002900,0.065073,0.067031,0.158035,0.411765,0.901750,0.011000,0.007700,-0.012318,-0.012448,,0.014659,0.003844,,0.032969,0.002717,,,,,0.054830,-1.425187,,,-0.094996,0.000000,,,,,0.037159,0.358257,0.206511,0.916856,0.464622,,0.043489,,,,,,0.284728,,
19492,14.16,1.0200,2.4000,-0.045903,-0.061765,0.0271,0.0347,0.0217,0.0198,0.0146,0.0117,0.002925,0.072034,0.071882,0.169492,0.425000,0.953888,0.010000,0.007600,-0.005192,0.004202,,0.016812,0.003205,,0.031492,0.004092,,,,,0.059968,-1.451211,,,-0.128472,0.000000,,,,,0.026433,0.375484,0.180205,0.873708,0.439227,,0.028473,,,,,,0.241388,,
19493,15.58,1.0400,2.3900,0.115669,0.100212,0.0260,0.0337,0.0212,0.0133,0.0158,0.0107,0.002925,0.066752,0.068331,0.153402,0.435146,0.875021,0.010500,0.007700,0.002445,0.000000,,0.023343,0.003262,,0.029860,0.002630,,,,,0.063519,-1.470117,,,-0.122316,0.000000,,,,,-0.032101,0.355003,0.175012,0.961794,0.478815,,0.026178,,,,,,0.285387,,
19494,16.76,1.1400,2.3200,0.104727,0.076299,0.0258,0.0331,0.0209,0.0092,-0.0058,0.0110,0.002675,0.068019,0.070984,0.138425,0.491379,0.796429,0.009900,0.007300,-0.015039,-0.012552,,0.027176,0.001996,,0.029348,0.004252,,,,,0.062423,-1.444517,,,-0.128094,0.000000,,,,,0.037091,0.340426,0.178596,1.000000,0.526064,,0.037034,,,,,,0.170226,,
19501,17.29,1.1700,2.3700,0.048202,0.032045,0.0258,0.0324,0.0215,-0.0032,0.0066,0.0112,0.002750,0.067669,0.067944,0.137073,0.493671,0.825528,0.010300,0.006600,0.009828,0.000000,,0.029291,0.002039,,0.030067,0.004553,,,,,0.057400,-1.453927,,,-0.086467,0.000000,,,,,-0.003878,0.377364,0.143813,0.982219,0.540572,,0.033742,,,,,,0.211920,,
19502,17.69,1.2000,2.5400,0.035569,0.021061,0.0262,0.0328,0.0216,0.0038,0.0007,0.0115,0.002800,0.067835,0.063898,0.143584,0.472441,0.813447,0.010100,0.006600,-0.003097,0.008475,,0.030397,0.007211,,0.032410,0.004115,,,,,0.059181,-1.632601,,,-0.012888,0.000000,,,,,-0.229023,0.323498,0.069907,0.915623,0.548600,,0.030506,,,,,,0.410089,,
19503,19.45,1.3300,2.7200,0.129243,0.107118,0.0264,0.0321,0.0220,-0.0003,0.0068,0.0130,0.002875,0.068380,0.072204,0.139846,0.488971,0.751458,0.009000,0.005700,0.007126,0.025210,,0.025914,0.005504,,0.034839,0.004032,,,,,0.057887,-1.599360,,,0.031775,0.000000,,,,,0.009508,0.331812,0.087416,0.991155,0.593856,,0.024325,,,,,,0.323207,,
19504,20.41,1.4700,2.8400,0.084584,0.054548,0.0267,0.0320,0.0224,0.0003,0.0069,0.0134,0.003250,0.072024,0.075346,0.139147,0.517606,0.722538,0.009000,0.005300,0.006625,0.024590,,0.031358,0.006707,,0.034445,0.005663,,,,,0.054877,-1.717984,,,0.042527,0.000000,,,,,0.024319,0.332315,0.059735,0.999788,0.617625,,0.051567,,,,,,0.392238,,
19511,21.40,1.5200,2.8300,0.061705,0.046718,0.0278,0.0323,0.0241,-0.0173,-0.0261,0.0140,0.003350,0.071028,0.069725,0.132243,0.537102,0.781395,0.010100,0.004500,-0.008832,0.032000,,0.032687,0.003583,,0.033231,0.005749,,,,,0.056721,-1.565707,,,0.045096,0.000000,,,,,0.014496,0.339152,0.089295,0.971921,0.652019,,0.027545,,,,1.070281,,0.279918,,
19512,20.96,1.5600,2.7200,-0.008648,-0.023302,0.0294,0.0349,0.0259,-0.0193,-0.0117,0.0145,0.003500,0.074427,0.072491,0.129771,0.573529,0.800363,0.011400,0.005500,0.007599,0.003876,,0.036341,0.003392,,0.033357,0.004065,,,,,0.061262,-1.499954,,,0.027434,0.000000,,,,,-0.038999,0.347059,0.183311,0.922130,0.636566,,0.031787,,,,0.556520,,0.281842,,
19513,23.26,1.5200,2.5100,0.127943,0.112426,0.0284,0.0346,0.0253,0.0156,0.0263,0.0163,0.003625,0.065348,0.065292,0.107911,0.605578,0.716182,0.009000,0.006200,0.010605,0.007722,,0.028800,0.002245,,0.033467,0.003934,,,,,0.062556,-1.518555,,,-0.002870,0.000000,,,,,0.006653,0.335150,0.176802,0.981148,0.711389,,0.021690,,,,0.562070,,0.178013,,
19514,23.77,1.4100,2.4400,0.039643,0.020166,0.0301,0.0361,0.0269,-0.0186,-0.0148,0.0173,0.004075,0.059318,0.061626,0.102650,0.577869,0.721316,0.009600,0.006000,0.003806,0.015326,,0.036151,0.002962,,0.032642,0.004147,,,,,0.064095,-1.406022,,,-0.001612,0.000000,,,,,0.055199,0.342446,0.149564,0.974165,0.706325,,0.022217,,,,-0.504039,,0.278641,,
19521,24.37,1.4200,2.4000,0.044465,0.029618,0.0296,0.0351,0.0263,0.0154,0.0189,0.0159,0.004325,0.058268,0.061049,0.098482,0.591667,0.751874,0.010400,0.005500,0.003566,-0.007547,,0.032094,0.002102,-0.010040,0.032710,0.003323,,,,,0.063209,-1.363832,,,0.007256,0.000000,,,,,0.078591,0.345877,0.152457,0.974997,0.706929,,0.028746,,,,0.535913,,0.203362,,
19522,24.96,1.4500,2.3400,0.038275,0.023832,0.0294,0.0350,0.0259,0.0140,0.0043,0.0170,0.003975,0.058093,0.060771,0.093750,0.619658,0.738715,0.008900,0.005600,-0.009745,0.007605,,0.027731,0.001660,0.000240,0.032972,0.004431,,,,,0.060279,-1.354492,,,-0.032135,0.000000,,,,,0.027576,0.351732,0.149092,0.992365,0.719521,,0.028235,,,,1.070281,,0.200112,,
19523,24.54,1.4500,2.3600,-0.004980,-0.017759,0.0295,0.0352,0.0277,-0.0219,0.0061,0.0171,0.004250,0.059087,0.057930,0.096170,0.614407,0.748679,0.010600,0.005700,0.027965,0.007547,,0.031038,0.001076,-0.001333,0.030163,0.003504,,,,,0.057925,-1.355432,,,0.038583,0.000000,,,,,-0.048470,0.345289,0.156234,0.965464,0.709946,,0.024913,,,,0.825204,,0.170016,,
19524,26.57,1.4100,2.4000,0.102295,0.084372,0.0297,0.0351,0.0279,0.0046,0.0055,0.0209,0.004275,0.053067,0.054949,0.090327,0.587500,0.694073,0.007000,0.005400,0.000944,0.000000,,0.026535,0.001753,-0.019931,0.032668,0.003446,,,,,0.057557,-1.426581,,,0.063138,0.000000,,,,,0.082202,0.359354,0.180704,0.999658,0.765800,,0.027274,,,,0.807148,,0.209102,,
19531,25.29,1.4100,2.4300,-0.035683,-0.048250,0.0312,0.0357,0.0294,-0.0162,-0.0152,0.0201,0.005225,0.055753,0.054440,0.096085,0.580247,0.762497,0.009300,0.004500,0.001016,-0.003745,,0.024013,0.001574,-0.022766,0.034174,0.002897,,,,,0.057782,-1.460847,,,0.068676,0.000000,,,,,-0.124768,0.373215,0.177623,0.952619,0.734239,,0.040039,,,,-0.772723,,0.222784,,
19532,24.14,1.4200,2.5100,-0.032102,-0.045195,0.0340,0.0386,0.0301,-0.0034,-0.0171,0.0211,0.005025,0.058824,0.057865,0.103977,0.565737,0.795497,0.009000,0.004600,-0.013722,0.007519,,0.027462,0.002970,-0.024729,0.034201,0.002854,,,,,0.056615,-1.484382,,,0.063024,0.097276,,,,,-0.047695,0.351768,0.136089,0.913101,0.703780,-2.294214,0.019845,,,,-2.667391,,0.341095,,
19533,23.35,1.4200,2.5500,-0.022973,-0.036677,0.0329,0.0388,0.0284,0.0331,0.0346,0.0179,0.005275,0.060814,0.060892,0.109208,0.556863,0.808211,0.010500,0.005900,0.001489,0.003731,,0.025877,0.002368,-0.020384,0.034647,0.002609,,,,,0.055653,-1.511814,,,0.038044,0.000000,,,,,-0.023489,0.366758,0.177212,0.898737,0.692709,-2.242799,0.026836,,,,-2.667391,,0.322476,,
19534,24.81,1.4500,2.5100,0.077865,0.058916,0.0313,0.0374,0.0274,0.0231,0.0327,0.0160,0.004475,0.058444,0.058562,0.101169,0.577689,0.759701,0.011400,0.006100,0.009582,0.000000,,0.024822,0.001367,-0.016808,0.034004,0.002793,-0.044568,,,,0.055111,-1.384899,,,-0.030460,0.000000,,,,,0.062024,0.402246,0.206870,0.956125,0.736942,-2.316534,0.029280,,,,0.563853,,0.169241,,
19541,26.94,1.4700,2.5500,0.099671,0.085040,0.0286,0.0351,0.0278,0.0391,0.0365,0.0103,0.004000,0.054566,0.056214,0.094655,0.576471,0.804916,0.017500,0.006500,-0.002634,0.000000,,0.022093,0.001195,0.005561,0.032813,0.002327,-0.046903,,,,0.055589,-1.424779,,,-0.051917,0.000000,,,,,0.082939,0.364240,0.237211,1.000000,0.796259,-2.380942,0.021801,,,,1.070281,,0.172606,,
19542,29.21,1.4500,2.6200,0.095901,0.082907,0.0290,0.0349,0.0272,0.0179,-0.0013,0.0064,0.002575,0.049641,0.049675,0.089695,0.553435,0.732468,0.020800,0.005900,-0.019269,0.000000,,0.018357,0.002096,0.013552,0.032266,0.001838,-0.060830,,,,0.053201,-1.470653,,,-0.059965,0.000000,,,,,-0.017974,0.371106,0.178426,0.989997,0.875016,-2.434858,0.028478,,,,1.070281,,0.184586,,
19543,32.31,1.4700,2.6300,0.116368,0.103607,0.0289,0.0347,0.0271,0.0087,0.0098,0.0101,0.001600,0.045497,0.049279,0.081399,0.558935,0.677745,0.017000,0.005800,0.001088,-0.003717,,0.016884,0.002450,0.022661,0.032850,0.002208,-0.044762,,,,0.051187,-1.515319,,,-0.069472,0.000000,,,,,0.000064,0.361684,0.233039,0.992128,0.945667,-2.531914,0.029525,,,,1.070281,,0.192889,,
19544,35.98,1.5400,2.7700,0.134620,0.118144,0.0290,0.0345,0.0272,0.0045,0.0082,0.0115,0.002525,0.042802,0.044977,0.076987,0.555957,0.604120,0.015700,0.005500,0.003735,-0.003731,,0.026993,0.002648,0.014399,0.032553,0.002845,-0.042395,,,,0.049156,-1.737757,,,-0.039671,0.000000,,,,,0.085742,0.337565,0.221539,1.000000,1.000000,-2.588906,0.050162,,,,1.070281,,0.219704,,
19551,36.58,1.5600,2.9600,0.029533,0.019193,0.0302,0.0348,0.0288,-0.0233,-0.0069,0.0128,0.002875,0.042646,0.042437,0.080919,0.527027,0.607762,0.016000,0.004600,0.016402,0.000000,,0.027968,0.005604,0.013088,0.032861,0.002822,-0.035753,,,,0.049171,-1.830916,,,0.007589,0.000000,,,,,-0.042495,0.346630,0.242540,0.976220,0.976220,-2.540760,0.034312,,,,1.070281,,0.358076,,
19552,41.03,1.5700,3.2200,0.131615,0.120710,0.0305,0.0351,0.0293,-0.0003,0.0010,0.0141,0.003200,0.038265,0.041414,0.078479,0.487578,0.551642,0.015200,0.004600,0.001250,0.000000,,0.025364,0.002019,0.000092,0.034548,0.000454,-0.027194,,,,0.049231,-1.637441,,,0.025882,0.000000,,,,,0.085198,0.340280,-0.009001,1.000000,1.000000,-2.572343,0.040397,,,,1.070281,,0.160861,,
19553,43.67,1.6200,3.4400,0.068890,0.058886,0.0313,0.0359,0.0298,-0.0026,-0.0003,0.0207,0.003525,0.037096,0.037517,0.078773,0.470930,0.533625,0.009100,0.004600,0.002231,0.007491,,0.025634,0.008914,-0.009195,0.035920,0.000206,-0.006930,,,,0.046105,-1.687936,,,0.028009,0.000000,,,,,-0.380204,0.342405,-0.077440,0.957267,0.957267,-2.570457,0.027272,,,,1.070281,,0.422766,,
